3173,3178,100.000,2.43e-83,232
3173,3173,100.000,2.43e-83,232
3173,3705,94.828,1.24e-79,223
3173,3703,94.828,1.24e-79,223
3173,3466,90.517,2.18e-67,192
3174,3177,100.000,0.0,4254
3174,3174,100.000,0.0,4254
3174,3467,77.697,0.0,3229
3174,3463,77.697,0.0,3229
3174,3706,71.977,0.0,3014
3175,3179,100.000,0.0,889
3175,3175,100.000,0.0,889
3175,3468,82.436,0.0,728
3175,3464,82.436,0.0,728
3175,4594,83.450,0.0,723
3176,3180,100.000,0.0,1221
3176,3176,100.000,0.0,1221
3176,4591,85.085,0.0,1072
3176,4589,85.085,0.0,1072
3176,4593,85.254,0.0,1068
3177,3177,100.000,0.0,4254
3177,3174,100.000,0.0,4254
3177,3467,77.697,0.0,3229
3177,3463,77.697,0.0,3229
3177,3706,71.977,0.0,3014
3178,3178,100.000,2.43e-83,232
3178,3173,100.000,2.43e-83,232
3178,3705,94.828,1.24e-79,223
3178,3703,94.828,1.24e-79,223
3178,3466,90.517,2.18e-67,192
3179,3179,100.000,0.0,889
3179,3175,100.000,0.0,889
3179,3468,82.436,0.0,728
3179,3464,82.436,0.0,728
3179,4594,83.450,0.0,723
3180,3180,100.000,0.0,1221
3180,3176,100.000,0.0,1221
3180,4591,85.085,0.0,1072
3180,4589,85.085,0.0,1072
3180,4593,85.254,0.0,1068
3462,3466,100.000,4.06e-84,234
3462,3462,100.000,4.06e-84,234
3462,3705,88.793,2.05e-76,214
3462,3703,88.793,2.05e-76,214
3462,3178,90.517,2.53e-75,212
3463,3467,100.000,0.0,4247
3463,3463,100.000,0.0,4247
3463,3706,91.027,0.0,3812
3463,3704,91.027,0.0,3812
3463,3177,77.697,0.0,3274
3464,3468,100.000,0.0,892
3464,3464,100.000,0.0,892
3464,4594,83.295,0.0,721
3464,4590,84.135,0.0,710
3464,4588,84.135,0.0,710
3465,3469,100.000,0.0,1199
3465,3465,100.000,0.0,1199
3465,3708,83.390,0.0,1015
3465,3702,83.390,0.0,1015
3465,4591,65.541,0.0,828
3466,3466,100.000,4.06e-84,234
3466,3462,100.000,4.06e-84,234
3466,3705,88.793,2.05e-76,214
3466,3703,88.793,2.05e-76,214
3466,3178,90.517,2.53e-75,212
3467,3467,100.000,0.0,4247
3467,3463,100.000,0.0,4247
3467,3706,91.027,0.0,3812
3467,3704,91.027,0.0,3812
3467,3177,77.697,0.0,3274
3468,3468,100.000,0.0,892
3468,3464,100.000,0.0,892
3468,4594,83.295,0.0,721
3468,4590,84.135,0.0,710
3468,4588,84.135,0.0,710
3469,3469,100.000,0.0,1199
3469,3465,100.000,0.0,1199
3469,3708,83.390,0.0,1015
3469,3702,83.390,0.0,1015
3469,4591,65.541,0.0,828
3701,3707,100.000,0.0,884
3701,3701,100.000,0.0,884
3701,3468,60.714,0.0,527
3701,3464,60.714,0.0,527
3701,4592,61.682,0.0,525
3702,3708,100.000,0.0,1197
3702,3702,100.000,0.0,1197
3702,3469,83.390,0.0,1015
3702,3465,83.390,0.0,1015
3702,4591,64.915,0.0,811
3703,3705,100.000,4.43e-84,234
3703,3703,100.000,4.43e-84,234
3703,3178,94.828,1.24e-79,223
3703,3173,94.828,1.24e-79,223
3703,3466,88.793,2.71e-68,194
3704,3706,100.000,0.0,4264
3704,3704,100.000,0.0,4264
3704,3467,90.931,0.0,3783
3704,3463,90.931,0.0,3783
3704,3177,71.977,0.0,3014
3705,3705,100.000,4.43e-84,234
3705,3703,100.000,4.43e-84,234
3705,3178,94.828,1.24e-79,223
3705,3173,94.828,1.24e-79,223
3705,3466,88.793,2.71e-68,194
3706,3706,100.000,0.0,4264
3706,3704,100.000,0.0,4264
3706,3467,90.931,0.0,3783
3706,3463,90.931,0.0,3783
3706,3177,71.977,0.0,3014
3707,3707,100.000,0.0,884
3707,3701,100.000,0.0,884
3707,3468,60.714,0.0,527
3707,3464,60.714,0.0,527
3707,4592,61.682,0.0,525
3708,3708,100.000,0.0,1197
3708,3702,100.000,0.0,1197
3708,3469,83.390,0.0,1015
3708,3465,83.390,0.0,1015
3708,4591,64.915,0.0,811
4585,4585,100.000,0.0,4031
4585,6581,49.874,0.0,1914
4585,3467,28.021,1.23e-24,105
4585,3467,23.547,2.86e-08,51.2
4585,3467,33.333,4.1,24.3
4585,3463,28.021,1.23e-24,105
4585,3463,23.547,2.86e-08,51.2
4585,3463,33.333,4.1,24.3
4585,3177,29.016,1.81e-24,104
4585,3177,21.958,1.27e-05,42.4
4585,3177,26.562,7.8,23.1
4586,4586,100.000,0.0,984
4586,6361,86.765,0.0,842
4586,6349,63.257,0.0,622
4586,6347,63.257,0.0,622
